,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
376,4/21/2022 23:43:28,10-15 years,Genius Admin,2-5 years,26.52,"$55,000","$3,000",31-40,AL,White,Man,1
55,4/18/2022 17:31:09,10-15 years,Genius,6-8 years,30.0,"$63,000.00",2000,31-40,NY,Black or African American,Man,1
608,5/1/2022 20:31:12,6-10 years,Genius Admin,2-5 years,30.19,"$62,794","$2,000",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
234,4/20/2022 10:40:53,6-10 years,Genius,2-5 years,28.4,"$59,072.00","$2,000.00",21-30,NY,White,Man,1
193,4/19/2022 17:03:40,6-10 years,aha advisor,0-1 years,26.1,"$54,000.00","$2,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
42,4/18/2022 16:29:22,6-10 years,Operations Specialist,6-8 years,22.5,"$41,000.00","1,000",21-30,NY,White,Woman,1
670,5/28/2022 15:16:54,2-5 years,Specialist,2-5 years,23.9,"$49,000",?,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
219,4/20/2022 0:34:55,6-10 years,Manager,0-1 years,41.0,"$90,781.00","$20,000.00",31-40,NY,Black or African American,Man,1
282,4/20/2022 22:50:42,10-15 years,Pro,0-1 years,32.38,"$67,373",2000,31-40,NY,White,Woman,1
279,4/20/2022 21:57:59,2-5 years,Genius,0-1 years,25.45,"52,000","2,000",41-50,NY,White,Man,1
19,4/18/2022 15:17:41,6-10 years,Operations Specialist,2-5 years,24.0,"$49,000.00","$2,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
18,4/18/2022 15:06:50,2-5 years,Specialist,2-5 years,24.27,"$50,492.00","$4,806.00",21-30,NY,Black or African American,Woman,1
276,4/20/2022 21:18:35,2-5 years,Creative Pro,2-5 years,30.0,"$63,176","$1,864",31-40,NY,White,Man,1
275,4/20/2022 21:12:21,2-5 years,Expert,0-1 years,25.68,"$53,413","$2,500",21-30,NY,Asian,Woman,1
271,4/20/2022 20:38:24,2-5 years,Technical Expert,0-1 years,26.57,"$52,000","$1,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
249,4/20/2022 14:41:25,6-10 years,Genius,2-5 years,31.2,"$64,885","$2,000",21-30,NY,White,Woman,1
222,4/20/2022 1:29:20,0-1 years,Operations Specialist,0-1 years,23.0,"$24,000.00","$2,000.00",21-30,NY,Asian,Man,1
223,4/20/2022 2:04:51,6-10 years,People Operations Planner,2-5 years,30.52,"$63,460.00","$2,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
6,4/18/2022 14:24:00,6-10 years,Genius Admin,0-1 years,26.74,"$50,000.00"," $ 1,400.00 ",31-40,NY,American Indian or Alaskan Native,Man,1
266,4/20/2022 18:55:29,6-10 years,Genius,2-5 years,30.84,64128,1000,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
684,6/8/2022 23:48:10,2-5 years,Operations Specialist,0-1 years,22.82,"47,455","1,600",21-30,NY,White,Woman,1
4,4/18/2022 14:22:03,6-10 years,Genius,2-5 years,29.5,"$61,000.00"," $ 1,000.00 ",21-30,NY,White,Man,1
229,4/20/2022 7:26:26,6-10 years,Genius,6-8 years,32.0,"$32,000.00","$3,000.00",31-40,NY,White,Woman,1
260,4/20/2022 17:22:25,2-5 years,Operations Specialist,2-5 years,24.0,"$24,000",0,21-30,NY,White,Man,1
216,4/19/2022 23:58:01,6-10 years,Genius,0-1 years,30.97,"$64,425.00","$2,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
662,5/26/2022 9:10:06,6-10 years,Genius,0-1 years,28.5,"$55,000","1,500",21-30,NY,White,Woman,1
20,4/18/2022 15:20:59,2-5 years,Technical Specialist,2-5 years,24.3,"$51,000.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
25,4/18/2022 15:40:49,2-5 years,Operations Specialist,0-1 years,24.12,"$25,000.00","$3,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
168,4/19/2022 11:54:25,6-10 years,operations analyst ,0-1 years,29.32,"$63,092.00","$2,690.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
167,4/19/2022 11:27:55,2-5 years,Operations Specialist,2-5 years,24.42,"$28,500.00","$1,800.00",21-30,NY,White,Man,1
165,4/19/2022 11:12:45,2-5 years,Lead Genius,0-1 years,36.88,"$76,709.00","$3,500.00",31-40,NY,Black or African American,Woman,1
163,4/19/2022 11:06:47,6-10 years,Operations Expert,2-5 years,28.44,"$59,143.00",$0.00,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
51,4/18/2022 17:22:05,10-15 years,Operations Lead,2-5 years,35.77,"$74,397.00",3000,31-40,NY,White,Woman,1
183,4/19/2022 14:33:16,2-5 years,operations analyst ,0-1 years,30.3,"$63,024.00","$1,200.00",21-30,NY,Black or African American,Woman,1
245,4/20/2022 13:44:12,0-1 years,Technical Specialist,0-1 years,23.0,"$21,000.00",$0.00,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
346,4/21/2022 16:14:48,2-5 years,Operations Expert,0-1 years,27.0,"56,177",2000,21-30,NY,White,Man,1
344,4/21/2022 15:18:52,2-5 years,Genius,0-1 years,29.01,"$60,200","$2,000",21-30,NY,Asian,I choose not to disclose,1
341,4/21/2022 14:46:13,2-5 years,Genius,0-1 years,29.62,"$30,000","$2,000",21-30,NY,Asian,Woman,1
359,4/21/2022 20:00:35,10-15 years,Pro,2-5 years,24.84,"$51,677","$2,000",31-40,NY,White,Man,1
188,4/19/2022 15:05:31,10-15 years,Operations Specialist,6-8 years,25.96,"$26,992.00","$3,600.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
189,4/19/2022 15:08:07,2-5 years,Operations Specialist,2-5 years,24.16,"$50,251.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
46,4/18/2022 16:49:11,2-5 years,Genius,0-1 years,30.67,"$61,000.00","$2,000",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
622,5/5/2022 20:13:39,2-5 years,Lead,2-5 years,37.47,72156.88,6397.38,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
3,4/18/2022 14:17:33,6-10 years,Lead Genius,2-5 years,37.0,"$78,000.00"," $ 3,000.00 ",21-30,NY,White,Man,1
190,4/19/2022 15:20:50,2-5 years,Genius Admin,0-1 years,26.52,"$55,143.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
197,4/19/2022 18:34:11,0-1 years,Operations Specialist,0-1 years,23.0,"$23,920",0,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
630,5/9/2022 12:16:28,2-5 years,Specialist,2-5 years,23.6,"$51,000","$1,500",41-50,NY,Black or African American,Man,1
54,4/18/2022 17:29:08,6-10 years,Specialist,2-5 years,24.0,"$49,919.00",-,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman,1
259,4/20/2022 17:12:59,2-5 years,Specialist,2-5 years,24.14,"50,205",0,31-40,NY,Black or African American,Woman,1
61,4/18/2022 18:08:18,6-10 years,Genius Admin,2-5 years,28.27,"$59,000.00","$2,000",31-40,NY,Black or African American,Man,1
71,4/18/2022 19:32:18,10-15 years,Genius Admin,6-8 years,60.1,"$55,500.00",1000,31-40,NY,I choose not to disclose,I choose not to disclose,1
68,4/18/2022 19:25:46,2-5 years,Technical Expert,2-5 years,25.06,"$52,100.00",N/a,21-30,NY,Black or African American,Woman,1
389,4/22/2022 7:05:30,6-10 years,Technical Specialist,6-8 years,23.0,"$24,440",$0,21-30,NY,Asian,Man,1
149,4/19/2022 8:55:36,10-15 years,Operations Lead,0-1 years,33.65,"$70,000.00","$3,000.00",31-40,NY,White,Man,1
153,4/19/2022 9:43:12,2-5 years,Specialist,2-5 years,24.0,"$26,000.00",$500.00,21-30,NY,White,Woman,1
241,4/20/2022 13:05:11,2-5 years,Operations Expert,0-1 years,27.8,"$56,790.00","$2,400.00",21-30,NY,Black or African American,Woman,1
65,4/18/2022 18:51:43,6-10 years,Genius,2-5 years,31.53,"$63,000.00","8,000",21-30,NY,Black or African American,Woman,1
160,4/19/2022 11:04:45,6-10 years,Genius,0-1 years,30.38,"$63,211.00","$3,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man,1
