,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender
376,4/21/2022 23:43:28,10-15 years,Genius Admin,2-5 years,26.52,"$55,000","$3,000",31-40,AL,White,Man
392,4/22/2022 8:13:05,6-10 years,Genius,6-8 years,24.4,50741,2000,31-40,AR,White,Man
550,4/26/2022 20:51:49,6-10 years,Genius,2-5 years,26.0,"50,000","2,000",21-30,AZ,Hispanic or Latino or Spanish Origin of any race,Woman
409,4/22/2022 11:40:39,10-15 years,Technical Specialist,2-5 years,22.99,47820,"$1,500",31-40,AZ,White,Woman
83,4/18/2022 20:58:00,10-15 years,Senior Manager,2-5 years,51.92,108000,"25,000",31-40,CA,White,Man
372,4/21/2022 22:34:39,2-5 years,Genius,0-1 years,28.51,29900,2000,21-30,CA,Asian,Man
369,4/21/2022 21:57:17,2-5 years,Genius,0-1 years,31.65,"$65,832","$2,000",21-30,CA,White,Woman
78,4/18/2022 19:57:48,6-10 years,Business Pro,2-5 years,28.0,"$60,000.00",X,21-30,CA,Asian,Man
365,4/21/2022 21:03:17,6-10 years,Lead Genius,2-5 years,31.73,63460,3000,31-40,CA,White,Man
208,4/19/2022 22:43:07,2-5 years,Genius,2-5 years,32.0,"$60,000.00","$2,000.00",21-30,CA,I choose not to disclose,I choose not to disclose
59,4/18/2022 18:02:33,2-5 years,Specialist,2-5 years,23.75,"$38,000.00","1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,I choose not to disclose
499,4/24/2022 15:17:41,10-15 years,Manager,6-8 years,41.0,"86,000","16,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Woman
213,4/19/2022 23:17:44,2-5 years,Specialist,2-5 years,17.0,"$16,320.00",$0.00,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
199,4/19/2022 19:09:22,2-5 years,Lead,0-1 years,30.5,"$63,000","$2,000",21-30,CA,Asian,Man
211,4/19/2022 23:02:38,10-15 years,Genius,9-11 years,31.25,"$65,000.00","$2,000.00",31-40,CA,White,Woman
502,4/24/2022 19:55:45,2-5 years,Expert,0-1 years,25.0,"$48,000","$1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man
210,4/19/2022 22:59:03,10-15 years,Operations Lead,2-5 years,34.0,"$72,000.00","$2,000.00",31-40,CA,White,Man
377,4/21/2022 23:44:31,2-5 years,Business Expert,0-1 years,29.75,"61,000","1,500",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman
440,4/22/2022 17:53:59,2-5 years,Operations Specialist,2-5 years,23.5,"$24,439","$1,784.53",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
141,4/19/2022 7:00:27,6-10 years,Lead,0-1 years,33.17,"$69,000.00","$25,000.00",21-30,CA,White,Man
418,4/22/2022 12:14:07,6-10 years,Lead,9-11 years,24.0,IDK,"$4,500",21-30,CA,I choose not to disclose,I choose not to disclose
453,4/22/2022 21:16:58,10-15 years,Operations Specialist,6-8 years,26.97,"USD $56,090","USD $1,500",41-50,CA,Hispanic or Latino or Spanish Origin of any race,Man
404,4/22/2022 10:57:08,2-5 years,Genius Admin,2-5 years,29.73,"60,000","$2,500",21-30,CA,White,Woman
164,4/19/2022 11:09:10,2-5 years,Pro,2-5 years,28.0,"$53,000.00","$1,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
461,4/22/2022 23:17:10,2-5 years,Operations Specialist,2-5 years,23.42,"$48,000","$2,500",31-40,CA,White,Woman
399,4/22/2022 10:43:46,6-10 years,Operations Expert,2-5 years,30.0,"$62,000.00 USD","$4,000.00 USD",21-30,CA,White,Man
467,4/23/2022 4:01:46,2-5 years,Expert,0-1 years,24.78,25780,"$1,500",21-30,CA,White,Man
181,4/19/2022 13:50:32,6-10 years,Genius,2-5 years,28.8,"$59,000.00","$2,200.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
384,4/22/2022 2:01:02,6-10 years,Tech and Merchandising Pro,2-5 years,29.15,"61,000","$3,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Woman
473,4/23/2022 13:39:20,2-5 years,Genius Admin,0-1 years,29.0,"$52,000","$2,500",21-30,CA,White,Woman
381,4/22/2022 0:30:23,2-5 years,Technical Expert,0-1 years,25.25,"36,000",1500,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman
378,4/21/2022 23:48:09,2-5 years,Genius,2-5 years,32.5,"67,770","2,000",21-30,CA,White,Man
482,4/23/2022 19:33:09,2-5 years,Specialist,2-5 years,20.0,"22,000",1000,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman
483,4/23/2022 19:45:17,10-15 years,Technical Specialist,9-11 years,23.0,"$23,000","$1,500",51-60,CA,White,Woman
195,4/19/2022 17:17:02,6-10 years,Operations Expert,2-5 years,30.97,"$64,000.00","$2,500.00",21-30,CA,White,Man
225,4/20/2022 4:37:30,2-5 years,Specialist,2-5 years,23.0,"$49,000.00",Unsure,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
28,4/18/2022 15:47:52,2-5 years,Specialist,2-5 years,23.23,"$49,000.00",-,21-30,CA,Black or African American,Man
7,4/18/2022 14:26:43,0-1 years,Technical Specialist,0-1 years,19.6,"$28,000.00", $ -   ,21-30,CA,White,Woman
307,4/21/2022 9:25:19,10-15 years,Genius Admin,0-1 years,29.0,"$60,000","$2,500",31-40,CA,I choose not to disclose,Man
35,4/18/2022 16:04:55,2-5 years,Tech and Merchandising Pro,2-5 years,31.83,"$66,000.00","$2,317.14",31-40,CA,White,Man
288,4/21/2022 1:21:20,0-1 years,Specialist,0-1 years,21.0,"15,000",0.25,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman
256,4/20/2022 16:35:17,2-5 years,Specialist,2-5 years,26.14,"$27,480","$1,500",21-30,CA,Black or African American,Woman
526,4/25/2022 22:03:45,2-5 years,Technical Expert,0-1 years,26.3,"54,704","3,000",21-30,CA,White,Woman
529,4/25/2022 22:06:50,2-5 years,Business Pro,0-1 years,30.06,"$62,000","$1,015",31-40,CA,White,Man
251,4/20/2022 15:54:01,2-5 years,Expert,2-5 years,25.02,"$45,000","2,500.00",21-30,CA,Black or African American,Non-binary / non-conforming
534,4/26/2022 0:50:37,2-5 years,Technical Expert,0-1 years,24.27,"$30,000","$2,000",21-30,CA,Asian,Man
24,4/18/2022 15:31:52,6-10 years,Tech and Merchandising Pro,2-5 years,29.57,"$60,000.00","$2,000.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman
23,4/18/2022 15:26:46,2-5 years,Genius,2-5 years,27.29,"$28,000.00","$2,000.00",21-30,CA,I choose not to disclose,Man
322,4/21/2022 11:59:46,2-5 years,Genius,0-1 years,25.8,"$38,000","$3,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man
270,4/20/2022 20:03:36,10-15 years,Lead,0-1 years,34.0,"$70,700","$2,500",31-40,CA,White,Man
311,4/21/2022 9:46:25,6-10 years,Technical Expert,2-5 years,24.5,~50k,"$3,000",21-30,CA,White,Man
17,4/18/2022 15:05:05,10-15 years,Creative Pro,2-5 years,30.29,"$63,000.00","$2,500.00",31-40,CA,White,Man
323,4/21/2022 12:05:52,2-5 years,Lead Genius,2-5 years,35.03,"$72,846","$3,578",31-40,CA,White,Man
39,4/18/2022 16:25:36,6-10 years,Technical Specialist,2-5 years,24.6,"$50,000.00","2,000",21-30,CA,Black or African American,Man
339,4/21/2022 14:18:07,2-5 years,Technical Expert,2-5 years,26.64,"$56,560","$2,500",21-30,CA,White,Man
293,4/21/2022 3:03:09,10-15 years,Genius,9-11 years,32.0,"$67,572","$3,000",31-40,CA,I choose not to disclose,I choose not to disclose
52,4/18/2022 17:22:57,6-10 years,Lead,0-1 years,34.0,"$70,000.00","1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man
232,4/20/2022 9:26:27,6-10 years,Lead Genius,0-1 years,34.0,"$71,000.00","$2,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming
518,4/25/2022 17:24:54,6-10 years,Technical Expert,2-5 years,27.25,"$34,700","$2,500",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
2,4/18/2022 14:13:18,2-5 years,Operations Specialist,2-5 years,23.5,"$50,000.00"," $ 1,500.00 ",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man
239,4/20/2022 12:17:24,6-10 years,Genius,0-1 years,27.9,"$54,000.00","$2,500.00",31-40,CA,White,Man
340,4/21/2022 14:22:42,2-5 years,Tech and Merchandising Pro,0-1 years,25.0,"$55,000","$2,500",21-30,CO,White,Man
474,4/23/2022 14:05:36,2-5 years,Genius,2-5 years,28.4,"$59,000ish","$2,000",21-30,CO,White,Transgender
287,4/21/2022 0:43:15,6-10 years,Genius,2-5 years,27.0,"$56,000","$1,000",31-40,CT,Hispanic or Latino or Spanish Origin of any race,Man
70,4/18/2022 19:29:08,2-5 years,Pro,0-1 years,26.94,"$56,000.00",2000,31-40,CT,Hispanic or Latino or Spanish Origin of any race,Man
38,4/18/2022 16:20:04,2-5 years,People Operations Planner,2-5 years,24.74,"$52,000.00","2,500",21-30,DC,Hispanic or Latino or Spanish Origin of any race,Woman
419,4/22/2022 12:17:28,2-5 years,Specialist,2-5 years,22.0,39000,"$2,000",21-30,DC,Black or African American,Man
405,4/22/2022 11:02:52,10-15 years,Business Expert,2-5 years,27.0,"$56,160","$1,000",31-40,DC,Black or African American,Man
77,4/18/2022 19:57:19,6-10 years,Genius,2-5 years,24.0,"$52,000.00","2,000",31-40,DE,White,Man
431,4/22/2022 14:37:53,6-10 years,Lead Genius,0-1 years,34.15,"$71,030","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Woman
157,4/19/2022 10:50:00,6-10 years,Operations Specialist,2-5 years,21.84,"$45,409.00","$1,500.00",21-30,FL,White,Man
150,4/19/2022 9:11:13,2-5 years,Specialist,2-5 years,20.62,"$42,948.00","$1,500.00",21-30,FL,Black or African American,Man
436,4/22/2022 16:54:40,6-10 years,Genius Admin,2-5 years,24.0,"$25,025","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming
161,4/19/2022 11:06:20,6-10 years,Technical Specialist,2-5 years,24.5,"$49,000.00","$1,500.00",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman
402,4/22/2022 10:47:42,6-10 years,Technical Expert,2-5 years,26.83,"$55,804","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man
152,4/19/2022 9:41:57,2-5 years,Specialist,2-5 years,22.75,"$22,993.00","$3,000.00",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man
291,4/21/2022 2:18:33,2-5 years,Technical Expert,2-5 years,24.5,"51,500",1200 USD,31-40,FL,White,Man
286,4/21/2022 0:23:29,6-10 years,Expert,0-1 years,24.5,"$59,000","$2,000",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man
231,4/20/2022 9:15:35,6-10 years,Expert,6-8 years,26.12,"$54,321.00","$2,000.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man
283,4/20/2022 23:15:14,10-15 years,Technical Specialist,9-11 years,22.63,"$47,062","$1,500",41-50,FL,White,Man
230,4/20/2022 9:01:23,6-10 years,Manager,9-11 years,45.73,"$95,110.00","$12,000.00",41-50,FL,Hispanic or Latino or Spanish Origin of any race,Woman
356,4/21/2022 19:18:39,2-5 years,Technical Specialist,2-5 years,22.0,"$42,000 USD","$1,500 USD",21-30,FL,White,Woman
347,4/21/2022 16:40:48,2-5 years,Pro,0-1 years,27.54,"$55,700","$2,500",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman
215,4/19/2022 23:51:40,10-15 years,Business Expert,2-5 years,25.02,"$53,000.00","$1,500.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man
238,4/20/2022 12:03:59,2-5 years,Technical Specialist,2-5 years,20.56,"$42,744 USD",$500.00,31-40,FL,Hispanic or Latino or Spanish Origin of any race,Woman
243,4/20/2022 13:21:14,6-10 years,Technical Specialist,2-5 years,21.0,28k,"$2,000.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man
342,4/21/2022 14:46:29,10-15 years,Genius,2-5 years,28.4,"$59,062","2,000",31-40,FL,White,Woman
285,4/20/2022 23:49:18,10-15 years,Lead,2-5 years,33.7,"$70,102","$3,000",31-40,FL,White,Man
332,4/21/2022 13:12:22,2-5 years,Expert,2-5 years,24.0,52,2200,21-30,FL,Black or African American,Man
371,4/21/2022 22:24:13,2-5 years,Pro,0-1 years,27.25,"61,000",1500,21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man
255,4/20/2022 16:28:14,6-10 years,Genius,0-1 years,28.95,60100,2500,21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman
373,4/21/2022 23:02:54,2-5 years,Genius,0-1 years,26.75,"$52,000","$2,000",21-30,FL,White,Woman
327,4/21/2022 12:37:00,6-10 years,Expert,6-8 years,27.5,"$57,200","$3,000",41-50,FL,White,Man
324,4/21/2022 12:07:05,6-10 years,Technical Expert,2-5 years,24.69,"51,355.20",2000,21-30,FL,White,Man
191,4/19/2022 16:16:25,10-15 years,Genius,6-8 years,27.62,"$63,000.00","$2,000.00",41-50,FL,White,Man
182,4/19/2022 14:07:29,2-5 years,Pro,2-5 years,26.66,"$55,452.00","$3,500.00",31-40,FL,White,Woman
204,4/19/2022 21:29:48,6-10 years,Business Expert,2-5 years,24.0,"$46,000.00","$2,200.00",31-40,FL,White,Man
558,4/27/2022 11:08:22,6-10 years,Genius,2-5 years,28.19,"$29,310","$3,000",31-40,FL,White,Man
64,4/18/2022 18:36:37,10-15 years,Genius,6-8 years,28.99,"$60,288.00","$2,000",31-40,FL,Asian,Man
457,4/22/2022 22:45:08,10-15 years,Genius,6-8 years,27.4,"57,174","2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man
456,4/22/2022 22:43:15,6-10 years,Genius,6-8 years,27.0,"$58,000","$2,000",21-30,FL,Asian,Man
464,4/23/2022 0:40:45,2-5 years,Technical Specialist,0-1 years,22.4,"$30,000","$4,806",21-30,FL,I choose not to disclose,Woman
465,4/23/2022 1:22:43,6-10 years,Pro,6-8 years,25.25,"53,000",2500,31-40,FL,White,Man
452,4/22/2022 20:20:59,2-5 years,Genius,0-1 years,26.0,"$54,079","$2,000",31-40,FL,Black or African American,Woman
520,4/25/2022 19:15:29,10-15 years,Genius Admin,2-5 years,25.69,"$53,000","$2,000",31-40,FL,White,Woman
37,4/18/2022 16:16:25,10-15 years,Technical Expert,2-5 years,27.76,"$57,720.00",1500?,31-40,FL,I choose not to disclose,Man
462,4/23/2022 0:08:54,10-15 years,Genius,9-11 years,27.89,"$58,000","$2,000",31-40,FL,White,Non-binary / non-conforming
552,4/26/2022 22:31:43,2-5 years,Creative Pro,0-1 years,25.88,53830,"$2,000.00",21-30,FL,White,Man
125,4/19/2022 0:36:09,6-10 years,Technical Specialist,2-5 years,22.51,"$39,000.00","$2,500.00",21-30,FL,Black or African American,Woman
519,4/25/2022 17:46:11,2-5 years,Specialist,2-5 years,20.32,"$42,262",1500,21-30,FL,White,Woman
517,4/25/2022 16:04:08,6-10 years,Genius Admin,2-5 years,23.14,"48,131 USD",2000 USD,21-30,FL,Black or African American,Woman
96,4/18/2022 21:35:14,6-10 years,Genius Admin,2-5 years,24.32,"$50,000.00","$3,000.00",21-30,GA,Black or African American,Woman
138,4/19/2022 4:20:18,6-10 years,People Operations Planner,0-1 years,26.0,"$54,075.00","$2,000.00",31-40,GA,White,Woman
131,4/19/2022 1:45:17,2-5 years,Technical Expert,0-1 years,23.0,"$47,000.00","$5,000.00",31-40,GA,I choose not to disclose,I choose not to disclose
357,4/21/2022 19:39:58,2-5 years,Technical Expert,2-5 years,24.0,"$24,000","$6,500",21-30,GA,Black or African American,Woman
514,4/25/2022 13:50:31,2-5 years,Operations Specialist,2-5 years,21.23,"$44,149","$1,500",21-30,GA,White,Non-binary / non-conforming
525,4/25/2022 22:03:22,0-1 years,Specialist,0-1 years,20.0,"41,000",Na,21-30,GA,Black or African American,Man
348,4/21/2022 17:32:13,0-1 years,Specialist,0-1 years,22.0,"$48,000",$0,21-30,IA,White,Man
532,4/25/2022 23:38:30,2-5 years,Genius Admin,2-5 years,22.92,47682,2000,21-30,IA,White,Man
233,4/20/2022 9:59:17,10-15 years,Genius Admin,2-5 years,26.62,"$55,351.00","$2,500.00",31-40,IL,White,Man
391,4/22/2022 7:54:20,6-10 years,Genius,2-5 years,27.92,"$58,052","$2,000",31-40,IL,White,Man
171,4/19/2022 12:18:53,6-10 years,Specialist,2-5 years,26.9,"25,000 USD","$2,500.00",51-60,IL,White,Woman
355,4/21/2022 19:06:39,6-10 years,Technical Expert,6-8 years,26.51,"$27,566","$1,000",31-40,IL,White,Woman
374,4/21/2022 23:10:26,2-5 years,Specialist,2-5 years,21.8,"$42,000","$1,000",21-30,IL,Hispanic or Latino or Spanish Origin of any race,Woman
370,4/21/2022 22:14:43,10-15 years,Genius,6-8 years,28.5,"$60,000","$3,000",41-50,IL,White,Man
312,4/21/2022 9:47:44,6-10 years,Genius,2-5 years,27.0,"57,000","3,000",31-40,IL,Hispanic or Latino or Spanish Origin of any race,Woman
221,4/20/2022 0:49:49,0-1 years,Specialist,0-1 years,21.0,"$25,000.00",$0.00,21-30,IL,Hispanic or Latino or Spanish Origin of any race,Man
187,4/19/2022 14:50:34,6-10 years,Operations Lead,0-1 years,31.0,"$64,500.00",Unsure,31-40,IL,White,Woman
362,4/21/2022 20:27:04,0-1 years,Specialist,0-1 years,21.0,"$21,700",0,18-20,IL,White,Man
240,4/20/2022 12:21:17,6-10 years,Tech and Merchandising Pro,2-5 years,27.33,"$69,000.00","$2,000.00",21-30,IL,White,Man
443,4/22/2022 19:14:44,2-5 years,Business Expert,0-1 years,24.47,"$52,500","$1,500",21-30,IL,White,Man
547,4/26/2022 17:57:15,2-5 years,Specialist,2-5 years,21.91,"$30,000","$1,000",31-40,IL,White,Man
432,4/22/2022 14:50:20,10-15 years,Genius,9-11 years,28.91,"$60,020","$2,000",31-40,IL,Hispanic or Latino or Spanish Origin of any race,Woman
397,4/22/2022 10:13:07,2-5 years,Lead,2-5 years,31.51,"$65,540.00","$3,000",21-30,IN,Hispanic or Latino or Spanish Origin of any race,Man
308,4/21/2022 9:35:52,2-5 years,Genius Admin,0-1 years,23.11,"$48,000","$2,000",21-30,IN,Hispanic or Latino or Spanish Origin of any race,Man
302,4/21/2022 8:58:53,2-5 years,Lead Genius,2-5 years,28.76,"$60,000",2000,31-40,KY,White,Man
192,4/19/2022 16:44:13,10-15 years,Business Pro,6-8 years,30.12,"$62,631.00","$1,500.00",31-40,MA,White,Man
113,4/18/2022 22:40:39,2-5 years,Technical Expert,0-1 years,24.13,"$50,189.00","$2,500.00",21-30,MA,White,Woman
